item_number,correct,audio_file,SetNr,TargetIns,Comp,LVL,WiT,Condition,TimeStartSec,SongNr,NewStimFileName,ItemNr
p_item2851_set307_wit_lvl0_comp6_t84_song19,1,p_item2851_set307_wit_lvl0_comp6_t84_song19.wav,307,Piano,6,0,wit,10,84,19,p_item2851_set307_wit_lvl0_comp6_t84_song19,2851
voc_item2121_set380_wit_lvl-15_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-15_comp3_t122_song20.wav,380,Lead,3,-15,wit,4,122,20,voc_item2121_set380_wit_lvl-15_comp3_t122_song20,2121
voc_item2121_set380_wit_lvl-10_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-10_comp3_t122_song20.wav,380,Lead,3,-10,wit,4,122,20,voc_item2121_set380_wit_lvl-10_comp3_t122_song20,2121
voc_item2121_set380_wit_lvl-5_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-5_comp3_t122_song20.wav,380,Lead,3,-5,wit,4,122,20,voc_item2121_set380_wit_lvl-5_comp3_t122_song20,2121
voc_item2121_set380_wit_lvl0_comp3_t122_song20,1,voc_item2121_set380_wit_lvl0_comp3_t122_song20.wav,380,Lead,3,0,wit,4,122,20,voc_item2121_set380_wit_lvl0_comp3_t122_song20,2121
p_item346_set31_wot_lvl0_comp4_t88_song20,2,p_item346_set31_wot_lvl0_comp4_t88_song20.wav,31,Piano,3,0,wot,11,88,20,p_item346_set31_wot_lvl0_comp4_t88_song20,346
voc_item2389_set447_wit_lvl-15_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-15_comp3_t20_song21.wav,447,Lead,3,-15,wit,4,20,21,voc_item2389_set447_wit_lvl-15_comp3_t20_song21,2389
voc_item2389_set447_wit_lvl-10_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-10_comp3_t20_song21.wav,447,Lead,3,-10,wit,4,20,21,voc_item2389_set447_wit_lvl-10_comp3_t20_song21,2389
voc_item2389_set447_wit_lvl-5_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-5_comp3_t20_song21.wav,447,Lead,3,-5,wit,4,20,21,voc_item2389_set447_wit_lvl-5_comp3_t20_song21,2389
voc_item2389_set447_wit_lvl0_comp3_t20_song21,1,voc_item2389_set447_wit_lvl0_comp3_t20_song21.wav,447,Lead,3,0,wit,4,20,21,voc_item2389_set447_wit_lvl0_comp3_t20_song21,2389
p_item1150_set99_wit_lvl-15_comp3_t46_song21,1,p_item1150_set99_wit_lvl-15_comp3_t46_song21.wav,99,Piano,3,-15,wit,12,46,21,p_item1150_set99_wit_lvl-15_comp3_t46_song21,1150
