item_nr,item_nr_MSA,item_nr_stim,item_number,answer,audio_file,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,practice_item,old_audio_file_name,set_nr,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,flagged_item
26,360,3147,p_item3147_set380_wot_lvl0_comp4_t124_song57,2,p_item3147_set380_wot_lvl0_comp4_t124_song57.wav,2,24,3,0,Piano,3,no,124,57,no,Piano_ItemNr(3147)_SetNr(380)_WoT_Level(0)_Complexity(4)_Time(124)_SongNr(57).wav,120,2.086082357,0.43384494,0.997392447,-0.431855406,-0.431855406,-0.152546894,2322,351,no
27,364,2919,p_item2919_set322_wot_lvl0_comp4_t26_song61,2,p_item2919_set322_wot_lvl0_comp4_t26_song61.wav,2,24,3,0,Piano,3,no,26,61,no,Piano_ItemNr(2919)_SetNr(322)_WoT_Level(0)_Complexity(4)_Time(26)_SongNr(61).wav,124,2.086082357,0.43384494,0.997392447,-0.096650978,-0.096650978,-0.152546894,2322,204,no
28,366,909,p_item909_set074_wot_lvl0_comp4_t90_song63,2,p_item909_set074_wot_lvl0_comp4_t90_song63.wav,2,24,3,0,Piano,3,no,90,63,no,Piano_ItemNr(909)_SetNr(074)_WoT_Level(0)_Complexity(4)_Time(90)_SongNr(63).wav,126,2.086082357,0.43384494,0.997392447,-0.094707056,-0.094707056,-0.152546894,2322,249,no
29,379,2818,p_item2818_set302_wot_lvl0_comp4_t66_song81,2,p_item2818_set302_wot_lvl0_comp4_t66_song81.wav,2,24,3,0,Piano,3,no,66,81,no,Piano_ItemNr(2818)_SetNr(302)_WoT_Level(0)_Complexity(4)_Time(66)_SongNr(81).wav,139,2.086082357,0.43384494,0.997392447,-1.200522455,-1.200522455,-0.152546894,2322,183,no
30,383,2516,p_item2516_set248_wot_lvl0_comp4_t100_song93,2,p_item2516_set248_wot_lvl0_comp4_t100_song93.wav,2,24,3,0,Piano,3,no,100,93,no,Piano_ItemNr(2516)_SetNr(248)_WoT_Level(0)_Complexity(4)_Time(100)_SongNr(93).wav,143,2.086082357,0.43384494,0.997392447,1.80314047,1.80314047,-0.152546894,2322,242,no
31,336,1754,b_item1754_set765_wot_lvl0_comp4_t46_song17,2,b_item1754_set765_wot_lvl0_comp4_t46_song17.wav,2,17,4,0,Bass,3,no,46,17,no,Bass_ItemNr(1754)_SetNr(765)_WoT_Level(0)_Complexity(4)_Time(46)_SongNr(17).wav,96,2.086082357,0.43384494,0.997392447,-0.443678259,-0.443678259,-0.500248984,2322,227,no
32,342,1856,b_item1856_set809_wot_lvl0_comp4_t252_song25,2,b_item1856_set809_wot_lvl0_comp4_t252_song25.wav,2,17,4,0,Bass,3,no,252,25,no,Bass_ItemNr(1856)_SetNr(809)_WoT_Level(0)_Complexity(4)_Time(252)_SongNr(25).wav,102,2.086082357,0.43384494,0.997392447,-0.716425399,-0.716425399,-0.500248984,2322,425,no
33,356,415,b_item415_set176_wot_lvl0_comp4_t32_song41,2,b_item415_set176_wot_lvl0_comp4_t32_song41.wav,2,17,4,0,Bass,3,no,32,41,no,Bass_ItemNr(415)_SetNr(176)_WoT_Level(0)_Complexity(4)_Time(32)_SongNr(41).wav,116,2.086082357,0.43384494,0.997392447,0.637132111,0.637132111,-0.500248984,2322,212,no
34,357,371,b_item371_set156_wot_lvl0_comp4_t16_song47,2,b_item371_set156_wot_lvl0_comp4_t16_song47.wav,2,17,4,0,Bass,3,no,16,47,no,Bass_ItemNr(371)_SetNr(156)_WoT_Level(0)_Complexity(4)_Time(16)_SongNr(47).wav,117,2.086082357,0.43384494,0.997392447,-0.893487708,-0.893487708,-0.500248984,2322,183,no
35,363,1330,b_item1330_set580_wot_lvl0_comp4_t12_song60,2,b_item1330_set580_wot_lvl0_comp4_t12_song60.wav,2,17,4,0,Bass,3,no,12,60,no,Bass_ItemNr(1330)_SetNr(580)_WoT_Level(0)_Complexity(4)_Time(12)_SongNr(60).wav,123,2.086082357,0.43384494,0.997392447,-0.342941574,-0.342941574,-0.500248984,2322,163,no
36,368,1751,b_item1751_set764_wot_lvl0_comp4_t64_song66,2,b_item1751_set764_wot_lvl0_comp4_t64_song66.wav,2,17,4,0,Bass,3,no,64,66,no,Bass_ItemNr(1751)_SetNr(764)_WoT_Level(0)_Complexity(4)_Time(64)_SongNr(66).wav,128,2.086082357,0.43384494,0.997392447,-0.581288969,-0.581288969,-0.500248984,2322,174,no
37,369,149,b_item149_set066_wot_lvl0_comp4_t82_song69,2,b_item149_set066_wot_lvl0_comp4_t82_song69.wav,2,17,4,0,Bass,3,no,82,69,no,Bass_ItemNr(149)_SetNr(066)_WoT_Level(0)_Complexity(4)_Time(82)_SongNr(69).wav,129,2.086082357,0.43384494,0.997392447,-1.374966106,-1.374966106,-0.500248984,2322,325,no
38,370,70,b_item70_set037_wot_lvl0_comp4_t70_song70,2,b_item70_set037_wot_lvl0_comp4_t70_song70.wav,2,17,4,0,Bass,3,no,70,70,no,Bass_ItemNr(70)_SetNr(037)_WoT_Level(0)_Complexity(4)_Time(70)_SongNr(70).wav,130,2.086082357,0.43384494,0.997392447,0.067849408,0.067849408,-0.500248984,2322,222,no
39,373,282,b_item282_set119_wot_lvl0_comp4_t52_song73,2,b_item282_set119_wot_lvl0_comp4_t52_song73.wav,2,17,4,0,Bass,3,no,52,73,no,Bass_ItemNr(282)_SetNr(119)_WoT_Level(0)_Complexity(4)_Time(52)_SongNr(73).wav,133,2.086082357,0.43384494,0.997392447,-1.375371575,-1.375371575,-0.500248984,2322,191,no
40,374,1860,b_item1860_set811_wot_lvl0_comp4_t54_song74,2,b_item1860_set811_wot_lvl0_comp4_t54_song74.wav,2,17,4,0,Bass,3,no,54,74,no,Bass_ItemNr(1860)_SetNr(811)_WoT_Level(0)_Complexity(4)_Time(54)_SongNr(74).wav,134,2.086082357,0.43384494,0.997392447,-0.882131171,-0.882131171,-0.500248984,2322,200,no
41,324,963,voc_item963_set170_wot_lvl0_comp7_t268_song4,2,voc_item963_set170_wot_lvl0_comp7_t268_song4.wav,2,20,5,0,Lead,6,no,268,4,no,Lead_ItemNr(963)_SetNr(170)_WoT_Level(0)_Complexity(7)_Time(268)_SongNr(4).wav,84,2.086082357,0.43384494,0.997392447,-1.296658135,-1.296658135,-0.862218064,1704,237,no
42,328,2996,voc_Item2996_set683_wot_lvl0_comp7_t106_song7,2,voc_Item2996_set683_wot_lvl0_comp7_t106_song7.wav,2,20,5,0,Lead,6,no,106,7,no,Lead_ItemNr(2996)_SetNr(683)_WoT_Level(0)_Complexity(7)_Time(106)_SongNr(7).wav,88,2.086082357,0.43384494,0.997392447,-1.411375101,-1.411375101,-0.862218064,1704,351,no
43,346,2500,voc_item2500_set485_wot_lvl0_comp7_t82_song27,2,voc_item2500_set485_wot_lvl0_comp7_t82_song27.wav,2,20,5,0,Lead,6,no,82,27,no,Lead_ItemNr(2500)_SetNr(485)_WoT_Level(0)_Complexity(7)_Time(82)_SongNr(27).wav,106,2.086082357,0.43384494,0.997392447,-1.492707982,-1.492707982,-0.862218064,1704,196,no
44,349,3644,voc_item3644_set974_wot_lvl0_comp7_t168_song31,2,voc_item3644_set974_wot_lvl0_comp7_t168_song31.wav,2,20,5,0,Lead,6,no,168,31,no,Lead_ItemNr(3644)_SetNr(974)_WoT_Level(0)_Complexity(7)_Time(168)_SongNr(31).wav,109,2.086082357,0.43384494,0.997392447,-0.418551105,-0.418551105,-0.862218064,1704,199,no
45,354,3199,voc_item3199_set770_wot_lvl0_comp7_t214_song37,2,voc_item3199_set770_wot_lvl0_comp7_t214_song37.wav,2,20,5,0,Lead,6,no,214,37,no,Lead_ItemNr(3199)_SetNr(770)_WoT_Level(0)_Complexity(7)_Time(214)_SongNr(37).wav,114,2.086082357,0.43384494,0.997392447,-1.504409504,-1.504409504,-0.862218064,1704,245,no
46,390,2601,voc_item2601_set521_wot_lvl0_comp7_t198_song101,2,voc_item2601_set521_wot_lvl0_comp7_t198_song101.wav,2,20,5,0,Lead,6,no,198,101,no,Lead_ItemNr(2601)_SetNr(521)_WoT_Level(0)_Complexity(7)_Time(198)_SongNr(101).wav,150,2.086082357,0.43384494,0.997392447,-0.698001739,-0.698001739,-0.862218064,1704,186,no
47,400,1235,voc_item1235_set212_wot_lvl0_comp7_t110_song115,2,voc_item1235_set212_wot_lvl0_comp7_t110_song115.wav,2,20,5,0,Lead,6,no,110,115,no,Lead_ItemNr(1235)_SetNr(212)_WoT_Level(0)_Complexity(7)_Time(110)_SongNr(115).wav,160,2.086082357,0.43384494,0.997392447,-0.928030399,-0.928030399,-0.862218064,1704,242,no
48,401,2456,voc_item2456_set655_wot_lvl0_comp7_t174_song8,2,voc_item2456_set655_wot_lvl0_comp7_t174_song8.wav,2,20,5,0,Lead,6,no,174,8,no,Lead_ItemNr(2456)_SetNr(655)_WoT_Level(0)_Complexity(7)_Time(174)_SongNr(8).wav,161,2.086082357,0.43384494,0.997392447,-0.811817235,-0.811817235,-0.862218064,1704,48,no
49,323,1167,git_item1167_set351_wot_lvl0_comp7_t280_song4,2,git_item1167_set351_wot_lvl0_comp7_t280_song4.wav,2,30,6,0,Guitar,6,no,280,4,no,Guitar_ItemNr(1167)_SetNr(351)_WoT_Level(0)_Complexity(7)_Time(280)_SongNr(4).wav,83,2.086082357,0.43384494,0.997392447,0.651025854,0.651025854,0.22121542,2322,375,no
50,325,3323,git_item3323_set1000_wot_lvl0_comp7_t430_song5,2,git_item3323_set1000_wot_lvl0_comp7_t430_song5.wav,2,30,6,0,Guitar,6,no,430,5,no,Guitar_ItemNr(3323)_SetNr(1000)_WoT_Level(0)_Complexity(7)_Time(430)_SongNr(5).wav,85,2.086082357,0.43384494,0.997392447,0.692849736,0.692849736,0.22121542,2322,156,no
