audio_file,item_nr,original_item_nr,set_nr,answer,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,song_name,practice_item,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,time_start_Hz,time_end_Hz,time_start_sec,time_end_sec,instrument_lead,instrument_guitar,instrument_piano,instrument_keys,instrument_backing_vocals,instrument_strings,instrument_winds,instrument_bass,instrument_drums,instrument_percussions,instrument_others,used_in_160er,used_in_32er,used_in_package,flagged_item,item_nr_stim,original_audio_file,item_number
p_item3212_set395_wit_lvl-10_comp6_t106_song3.wav,292,18,5,1,1,18,31,-10,Piano,6,yes,106,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-0.849572978,-0.849572978,-0.598324402,651,48,4674601,4762800,106,108,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,3212,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-10)_Complexity(6)_Time(106)_SongNr(3).wav,p_item1402_set130_wit_lvl-10_comp6_t84_song2
p_item3212_set395_wit_lvl0_comp6_t106_song3.wav,139,20,5,1,1,4,15,0,Piano,6,yes,106,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-1.473103642,-1.473103642,-1.703696714,672,47,4674601,4762800,106,108,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,3212,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(0)_Complexity(6)_Time(106)_SongNr(3).wav,p_item1402_set130_wit_lvl0_comp6_t84_song2
voc_item963_set170_wot_lvl0_comp7_t268_song4.wav,41,324,84,2,2,20,5,0,Lead,6,no,268,4,Alexander_Ross-Goodbye_Bolero,no,2.086082357,0.43384494,0.997392447,-1.296658135,-1.296658135,-0.862218064,1704,237,11818801,11907000,268,270,1,1,0,0,0,1,1,1,1,0,1,yes,yes,yes,no,963,Lead_ItemNr(963)_SetNr(170)_WoT_Level(0)_Complexity(7)_Time(268)_SongNr(4).wav,voc_item963_set170_wot_lvl0_comp7_t268_song4
git_item1167_set351_wot_lvl0_comp7_t280_song4.wav,49,323,83,2,2,30,6,0,Guitar,6,no,280,4,Alexander_Ross-Goodbye_Bolero,no,2.086082357,0.43384494,0.997392447,0.651025854,0.651025854,0.22121542,2322,375,12348001,12436200,280,282,1,1,0,0,0,1,1,1,1,0,1,yes,yes,yes,no,1167,Guitar_ItemNr(1167)_SetNr(351)_WoT_Level(0)_Complexity(7)_Time(280)_SongNr(4).wav,voc_item2456_set655_wot_lvl0_comp7_t174_song8
voc_item3211_set776_wit_lvl-10_comp6_t408_song5.wav,271,22,6,1,1,19,29,-10,Lead,6,yes,408,5,Alexander_Ross-Velvet_Curtain,no,2.086082357,0.43384494,0.997392447,-0.290830716,-0.290830716,-0.616883299,547,42,17992801,18081000,408,410,1,1,0,0,1,0,1,1,1,0,0,yes,yes,yes,no,3211,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-10)_Complexity(6)_Time(408)_SongNr(5).wav,b_item959_set423_wit_lvl-10_comp3_t18_song117
voc_item3211_set776_wit_lvl-5_comp6_t408_song5.wav,156,23,6,1,1,11,17,-5,Lead,6,yes,408,5,Alexander_Ross-Velvet_Curtain,no,2.086082357,0.43384494,0.997392447,-1.417913057,-1.417913057,-1.333268287,564,43,17992801,18081000,408,410,1,1,0,0,1,0,1,1,1,0,0,yes,yes,yes,no,3211,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-5)_Complexity(6)_Time(408)_SongNr(5).wav,b_item1365_set596_wit_lvl0_comp6_t132_song111
voc_item3211_set776_wit_lvl-15_comp6_t408_song5.wav,345,21,6,1,1,35,37,-15,Lead,6,yes,408,5,Alexander_Ross-Velvet_Curtain,no,2.086082357,0.43384494,0.997392447,0.54051169,0.54051169,0.510033255,650,96,17992801,18081000,408,410,1,1,0,0,1,0,1,1,1,0,0,yes,yes,yes,no,3211,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,b_item959_set423_wit_lvl-15_comp3_t18_song117
voc_item3211_set776_wit_lvl0_comp6_t408_song5.wav,117,24,6,1,1,5,13,0,Lead,6,yes,408,5,Alexander_Ross-Velvet_Curtain,no,2.086082357,0.43384494,0.997392447,-1.53601005,-1.53601005,-1.72228822,716,41,17992801,18081000,408,410,1,1,0,0,1,0,1,1,1,0,0,yes,yes,yes,no,3211,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(0)_Complexity(6)_Time(408)_SongNr(5).wav,b_item959_set423_wit_lvl0_comp3_t18_song117
git_item3323_set1000_wot_lvl0_comp7_t430_song5.wav,50,325,85,2,2,30,6,0,Guitar,6,no,430,5,Alexander_Ross-Velvet_Curtain,no,2.086082357,0.43384494,0.997392447,0.692849736,0.692849736,0.22121542,2322,156,18963001,19051200,430,432,1,1,0,0,1,1,1,1,1,0,0,yes,yes,yes,no,3323,Guitar_ItemNr(3323)_SetNr(1000)_WoT_Level(0)_Complexity(7)_Time(430)_SongNr(5).wav,git_item1167_set351_wot_lvl0_comp7_t280_song4
voc_Item2996_set683_wot_lvl0_comp7_t106_song7.wav,42,328,88,2,2,20,5,0,Lead,6,no,106,7,Auctioneer-Our_Future_Faces,no,2.086082357,0.43384494,0.997392447,-1.411375101,-1.411375101,-0.862218064,1704,351,4674601,4762800,106,108,1,0,1,0,0,0,1,1,1,1,1,yes,yes,yes,no,2996,Lead_ItemNr(2996)_SetNr(683)_WoT_Level(0)_Complexity(7)_Time(106)_SongNr(7).wav,voc_Item2996_set683_wot_lvl0_comp7_t106_song7
